"childid","country","sex","enrolled","dropout","mother_edu","father_edu","ppvt_score","hhsize","region","typesite"
"IN030064","India",0,1,0,NA,-Inf,57,4,"21","1"
"IN030065","India",1,1,0,NA,-Inf,45,5,"21","1"
"IN030066","India",1,1,0,NA,-Inf,41,5,"21","1"
"IN030067","India",0,1,0,NA,-Inf,108,6,"21","1"
"IN030068","India",0,1,0,NA,-Inf,114,5,"21","1"
"IN030069","India",0,1,0,NA,-Inf,44,4,"21","1"
"IN030070","India",0,1,0,NA,-Inf,42,4,"21","1"
"IN030071","India",1,1,0,NA,-Inf,35,4,"21","1"
"IN030072","India",1,1,0,NA,-Inf,41,4,"21","1"
"IN030073","India",0,1,0,NA,-Inf,55,4,"21","1"
"IN030074","India",1,1,0,NA,-Inf,72,5,"21","2"
"IN030075","India",1,1,0,NA,-Inf,58,9,"21","1"
"IN030076","India",1,1,0,NA,-Inf,40,5,"21","1"
"IN030078","India",0,1,0,NA,-Inf,66,5,"21","1"
"IN030079","India",0,1,0,NA,-Inf,40,5,"21","1"
"IN030080","India",1,1,0,NA,-Inf,37,5,"21","1"
"IN030081","India",1,1,0,NA,-Inf,NA,3,"21","1"
"IN030082","India",1,1,0,NA,-Inf,47,5,"21","1"
"IN030083","India",1,1,0,NA,-Inf,49,4,"21","1"
"IN030084","India",1,1,0,NA,-Inf,76,4,"21","1"
"IN030085","India",0,1,0,NA,-Inf,98,6,"21","1"
"IN030086","India",0,1,0,NA,-Inf,48,8,"21","1"
"IN030087","India",1,1,0,NA,-Inf,71,4,"21","1"
"IN030088","India",0,1,0,NA,-Inf,36,3,"21","1"
"IN030089","India",1,1,0,NA,-Inf,93,7,"21","1"
"IN030090","India",1,1,0,NA,-Inf,138,6,"21","1"
"IN030091","India",0,1,0,NA,-Inf,65,4,"21","1"
"IN030092","India",1,1,0,NA,-Inf,61,7,"21","1"
"IN030093","India",1,1,0,NA,-Inf,79,7,"21","1"
"IN030094","India",1,1,0,NA,-Inf,46,3,"21","1"
"IN030095","India",0,1,0,NA,-Inf,122,4,"21","1"
"IN030096","India",1,1,0,NA,-Inf,81,4,"21","1"
"IN030097","India",1,1,0,NA,-Inf,104,4,"21","1"
"IN030098","India",1,1,0,NA,-Inf,74,5,"21","1"
"IN030099","India",0,1,0,NA,-Inf,54,6,"21","1"
"IN030100","India",0,1,0,NA,-Inf,59,6,"21","2"
"IN040001","India",1,1,0,NA,-Inf,113,4,"21","2"
"IN040002","India",0,1,0,NA,-Inf,29,7,"21","2"
"IN040003","India",1,1,0,NA,-Inf,41,7,"21","2"
"IN040004","India",0,1,0,NA,-Inf,68,5,"21","2"
"IN040005","India",1,1,0,NA,-Inf,88,7,"21","2"
"IN040006","India",1,1,0,NA,-Inf,45,6,"21","2"
"IN040007","India",1,1,0,NA,-Inf,38,6,"21","2"
"IN040008","India",0,1,0,NA,-Inf,31,6,"21","2"
"IN040009","India",0,1,0,NA,-Inf,46,5,"21","2"
"IN040010","India",0,1,0,NA,-Inf,33,6,"21","2"
"IN040011","India",1,1,0,NA,-Inf,37,6,"21","2"
"IN040012","India",0,1,0,NA,-Inf,17,5,"21","2"
"IN040013","India",0,1,0,NA,-Inf,31,5,"21","2"
"IN040014","India",0,1,0,NA,-Inf,30,4,"21","2"
"IN040015","India",1,1,0,NA,-Inf,32,8,"21","2"
"IN040016","India",1,1,0,NA,-Inf,31,9,"21","2"
"IN040017","India",1,1,0,NA,-Inf,46,6,"21","2"
"IN040018","India",1,1,0,NA,-Inf,88,6,"21","2"
"IN040019","India",0,1,0,NA,-Inf,39,6,"21","2"
"IN040020","India",1,1,0,NA,-Inf,60,3,"21","2"
"IN040021","India",1,1,0,NA,-Inf,53,5,"21","2"
"IN040022","India",0,1,0,NA,-Inf,41,6,"21","2"
"IN040023","India",1,1,0,NA,-Inf,28,5,"21","2"
"IN040024","India",1,1,0,NA,-Inf,54,4,"21","2"
"IN040025","India",1,1,0,NA,-Inf,36,5,"21","2"
"IN040027","India",1,1,0,NA,-Inf,31,6,"21","2"
"IN040028","India",0,1,0,NA,-Inf,35,7,"21","2"
"IN040029","India",0,1,0,NA,-Inf,51,8,"21","2"
"IN040030","India",0,1,0,NA,-Inf,51,6,"21","2"
"IN040031","India",0,1,0,NA,-Inf,51,8,"21","2"
"IN040032","India",0,1,0,NA,-Inf,41,6,"21","2"
"IN040033","India",0,1,0,NA,-Inf,108,5,"21","2"
"IN040034","India",0,1,0,NA,-Inf,67,4,"21","2"
"IN040035","India",1,1,0,NA,-Inf,41,4,"21","2"
"IN040036","India",1,1,0,NA,-Inf,38,4,"21","2"
"IN040037","India",0,1,0,NA,-Inf,82,6,"21","2"
"IN040038","India",0,1,0,NA,-Inf,40,4,"21","2"
"IN040039","India",1,1,0,NA,-Inf,91,5,"21","2"
"IN040040","India",0,1,0,NA,-Inf,31,5,"21","2"
"IN040041","India",1,1,0,NA,-Inf,24,4,"21","2"
"IN040042","India",0,1,0,NA,-Inf,30,6,"21","2"
"IN040043","India",1,1,0,NA,-Inf,30,6,"21","2"
"IN040044","India",0,1,0,-Inf,-Inf,29,9,"21","2"
"IN040045","India",1,1,0,NA,-Inf,30,6,"21","2"
"IN040046","India",0,1,0,NA,-Inf,22,7,"21","2"
"IN040047","India",1,0,1,NA,-Inf,42,6,"21","2"
"IN040048","India",1,1,0,-Inf,-Inf,71,7,"21","2"
"IN040049","India",0,1,0,NA,-Inf,34,5,"21","2"
"IN040050","India",0,1,0,NA,-Inf,34,5,"21","2"
"IN040051","India",0,1,0,NA,-Inf,26,4,"21","2"
"IN040052","India",1,1,0,NA,-Inf,39,7,"21","2"
"IN040053","India",0,1,0,NA,-Inf,24,7,"21","2"
"IN040054","India",1,1,0,NA,-Inf,NA,8,"21","2"
"IN040055","India",1,1,0,NA,-Inf,49,5,"21","2"
"IN040056","India",0,1,0,NA,-Inf,30,8,"21","2"
"IN040057","India",1,1,0,NA,-Inf,127,4,"21","2"
"IN040058","India",1,1,0,NA,-Inf,37,5,"21","2"
"IN040059","India",0,1,0,NA,-Inf,73,3,"21","1"
"IN040060","India",1,1,0,NA,-Inf,115,5,"21","2"
"IN040061","India",1,1,0,NA,-Inf,37,4,"21","2"
"IN040062","India",1,1,0,NA,-Inf,144,4,"21","2"
"IN040063","India",0,1,0,NA,-Inf,84,4,"21","2"
"IN040064","India",1,1,0,NA,-Inf,66,4,"21","2"
"IN040065","India",0,1,0,NA,-Inf,48,6,"21","2"
"IN040066","India",1,1,0,NA,-Inf,36,5,"21","2"
"IN040067","India",1,1,0,NA,-Inf,123,6,"21","2"
"IN040068","India",1,1,0,NA,-Inf,47,5,"21","2"
"IN040069","India",1,1,0,NA,-Inf,45,7,"21","2"
"IN040070","India",0,1,0,NA,-Inf,43,7,"21","2"
"IN040071","India",1,1,0,NA,-Inf,117,4,"21","1"
"IN040073","India",0,1,0,NA,-Inf,40,5,"21","2"
"IN040074","India",0,1,0,NA,-Inf,108,4,"21","2"
"IN040075","India",1,1,0,NA,-Inf,71,5,"21","2"
"IN040076","India",0,1,0,NA,-Inf,68,4,"21","2"
"IN040077","India",0,1,0,NA,-Inf,85,4,"21","2"
"IN040078","India",1,1,0,NA,-Inf,61,5,"21","2"
"IN040079","India",1,1,0,NA,-Inf,134,4,"21","1"
"IN040080","India",1,1,0,NA,-Inf,65,4,"21","2"
"IN040081","India",0,1,0,NA,-Inf,29,4,"21","2"
"IN040082","India",1,1,0,NA,-Inf,43,10,"21","2"
"IN040083","India",0,1,0,NA,-Inf,77,4,"21","2"
"IN040084","India",0,1,0,NA,-Inf,36,4,"21","2"
"IN040085","India",1,1,0,NA,-Inf,110,4,"21","2"
"IN040086","India",1,1,0,NA,-Inf,38,5,"21","2"
"IN040087","India",0,1,0,NA,-Inf,90,4,"21","2"
"IN040088","India",0,1,0,NA,-Inf,35,4,"21","2"
"IN040089","India",0,1,0,NA,NA,39,4,"21","2"
"IN040090","India",1,1,0,-Inf,-Inf,110,6,"21","2"
"IN040091","India",1,1,0,NA,-Inf,49,9,"21","2"
"IN040092","India",1,1,0,NA,-Inf,40,5,"21","2"
"IN040093","India",0,1,0,NA,-Inf,29,4,"21","2"
"IN040094","India",1,1,0,NA,-Inf,59,5,"21","2"
"IN040095","India",1,1,0,NA,-Inf,48,7,"21","2"
"IN040096","India",0,1,0,NA,-Inf,114,6,"21","2"
"IN040097","India",1,1,0,NA,-Inf,40,5,"21","2"
"IN040098","India",0,1,0,NA,-Inf,45,6,"21","2"
"IN040099","India",0,1,0,NA,-Inf,45,6,"21","2"
"IN040100","India",1,1,0,NA,-Inf,48,5,"21","2"
"IN050001","India",0,1,0,NA,-Inf,49,11,"21","2"
"IN050002","India",0,1,0,NA,-Inf,52,5,"21","2"
"IN050003","India",0,1,0,NA,-Inf,58,3,"21","2"
"IN050004","India",0,1,0,NA,-Inf,35,6,"21","2"
"IN050005","India",0,1,0,NA,-Inf,35,14,"21","2"
"IN050006","India",1,1,0,NA,-Inf,27,4,"21","2"
"IN050007","India",0,1,0,NA,-Inf,79,5,"21","2"
"IN050008","India",1,1,0,NA,-Inf,41,5,"21","2"
"IN050009","India",1,1,0,NA,-Inf,43,5,"21","2"
"IN050010","India",1,1,0,NA,-Inf,45,10,"21","2"
"IN050011","India",0,1,0,-Inf,-Inf,26,7,"21","2"
"IN050012","India",1,1,0,NA,-Inf,38,6,"21","2"
"IN050013","India",1,1,0,NA,-Inf,43,4,"21","2"
"IN050014","India",0,1,0,NA,-Inf,46,4,"21","2"
"IN050015","India",1,1,0,NA,-Inf,35,4,"21","2"
"IN050016","India",1,1,0,NA,-Inf,48,4,"21","2"
"IN050017","India",1,1,0,NA,-Inf,41,6,"21","2"
"IN050018","India",1,1,0,NA,-Inf,42,9,"21","2"
"IN050019","India",0,1,0,NA,-Inf,47,4,"21","2"
"IN050020","India",0,1,0,NA,-Inf,37,6,"21","2"
"IN050021","India",1,1,0,NA,-Inf,46,6,"21","2"
"IN050022","India",1,1,0,NA,-Inf,20,5,"21","2"
"IN050023","India",0,0,1,NA,-Inf,33,5,"21","2"
"IN050024","India",1,0,1,NA,-Inf,39,4,"21","2"
"IN050025","India",1,1,0,NA,-Inf,68,7,"21","2"
"IN050026","India",1,1,0,-Inf,-Inf,42,4,"21","2"
"IN050027","India",1,1,0,NA,-Inf,30,5,"21","2"
"IN050028","India",0,1,0,NA,-Inf,44,4,"21","2"
"IN050029","India",0,1,0,NA,-Inf,37,5,"21","2"
"IN050030","India",1,1,0,NA,-Inf,85,10,"21","2"
"IN050031","India",1,0,1,NA,-Inf,25,5,"21","2"
"IN050032","India",0,1,0,NA,-Inf,36,6,"21","2"
"IN050033","India",0,1,0,NA,-Inf,30,6,"21","2"
"IN050034","India",1,1,0,NA,-Inf,34,5,"21","2"
"IN050035","India",0,1,0,NA,-Inf,26,5,"21","2"
"IN050036","India",0,1,0,NA,-Inf,37,3,"21","2"
"IN050037","India",1,1,0,NA,-Inf,43,6,"21","2"
"IN050038","India",1,1,0,NA,-Inf,44,4,"21","2"
"IN050039","India",1,1,0,NA,-Inf,50,4,"21","2"
"IN050040","India",0,1,0,NA,-Inf,40,4,"21","2"
"IN050041","India",1,1,0,NA,-Inf,54,6,"21","2"
"IN050042","India",0,1,0,NA,-Inf,37,5,"21","2"
"IN050043","India",1,1,0,NA,-Inf,56,5,"21","2"
"IN050044","India",0,1,0,NA,-Inf,44,5,"21","2"
